id,water_level,co2_ppm,soil_moisture,air_temp,air_humidity,door_status,growth_stage,light_status,time_created
205,"NOT EMPTY",1326.00,MOIST,21.90,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
206,"NOT EMPTY",1134.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
207,"NOT EMPTY",1522.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
208,"NOT EMPTY",1723.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
209,"NOT EMPTY",1602.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
210,"NOT EMPTY",1366.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
211,"NOT EMPTY",1212.00,MOIST,21.80,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
212,"NOT EMPTY",1070.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
213,"NOT EMPTY",953.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
214,"NOT EMPTY",904.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
215,"NOT EMPTY",810.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
216,"NOT EMPTY",802.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
217,"NOT EMPTY",786.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
218,"NOT EMPTY",759.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
219,"NOT EMPTY",741.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
220,"NOT EMPTY",727.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
221,"NOT EMPTY",704.00,MOIST,21.80,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
222,"NOT EMPTY",683.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
223,"NOT EMPTY",775.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
224,"NOT EMPTY",1204.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
225,"NOT EMPTY",1536.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
226,"NOT EMPTY",1894.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
227,"NOT EMPTY",1879.00,MOIST,21.80,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
